Token	Adress	ATH	Market_Cap	ATH_was	Alert_posted
Tunnel Jews	0x5cc8f8c24d8ee32d768b70856474c4ab9b1c33f1	1.15x	$174,240	8 hours ago	8 hours ago
PYRO	0x2270f16112e3cc36228a98336aa0a35bd6ce1cac	1.13x	$257,040	a day ago	a day ago
PYRO	0x2270f16112e3cc36228a98336aa0a35bd6ce1cac	1.13x	$257,040	a day ago	a day ago
PYRO	0x2270f16112e3cc36228a98336aa0a35bd6ce1cac	1.13x	$257,040	a day ago	a day ago
PYRO	0x2270f16112e3cc36228a98336aa0a35bd6ce1cac	1.13x	$257,040	a day ago	a day ago
PYRO	0x2270f16112e3cc36228a98336aa0a35bd6ce1cac	1.13x	$257,040	a day ago	a day ago
PYRO	0x2270f16112e3cc36228a98336aa0a35bd6ce1cac	1.13x	$257,040	a day ago	a day ago
Elsa	0x84e1f3a9bc9c2d3310cd06ab6e7588c65813555a	1.25x	$55,035	a minute ago	2 minutes ago
ELSA	0x84e1f3a9bc9c2d3310cd06ab6e7588c65813555a	3.3x	$87,523	10 minutes ago	29 minutes ago
ELSA	0x84e1f3a9bc9c2d3310cd06ab6e7588c65813555a	3.9x	$173,684	a few seconds ago	an hour ago
$WYNN	0x7a77a4df74431aa811ccbd32940e6d4c35560560	2.2x	$120,572	2 hours ago	3 hours ago
$WYNN	0x7a77a4df74431aa811ccbd32940e6d4c35560560	3.3x	$153,339	2 minutes ago	3 hours ago
Zuzalu	0xfcbc85aebf649a8e4fd4529af75f96d2d7e633bc	2.0x	$70,854	a minute ago	13 minutes ago
Zuzalu	0xfcbc85aebf649a8e4fd4529af75f96d2d7e633bc	3.3x	$106,839	5 minutes ago	26 minutes ago
Zuzalu	0xfcbc85aebf649a8e4fd4529af75f96d2d7e633bc	3.6x	$129,705	a minute ago	28 minutes ago
CLAY	0xea444f927ac5ee812c83d28515c0b9a2dc5f89d8	1.6x	$47,733	a minute ago	a minute ago
CLAY	0xea444f927ac5ee812c83d28515c0b9a2dc5f89d8	2.6x	$78,998	a few seconds ago	9 minutes ago
CLAY	0xea444f927ac5ee812c83d28515c0b9a2dc5f89d8	3.3x	$98,649	a few seconds ago	12 minutes ago
$TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	1.9x	$102,415	a few seconds ago	13 minutes ago
TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	2.8x	$148,995	a few seconds ago	15 minutes ago
TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	0.5	$52,544	15 minutes ago	15 minutes ago
$TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	3.8x	$197,267	a minute ago	16 minutes ago
TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	4.6x	$241,243	a minute ago	18 minutes ago
TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	5.7x	$297,295	3 minutes ago	26 minutes ago
TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	7.9x	$414,773	38 minutes ago	an hour ago
$TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	8.4x	$441,648	a minute ago	an hour ago
$TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	9.3x	$487,685	a few seconds ago	an hour ago
TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	10.9x	$572,953	a minute ago	an hour ago
$TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	11.64x	$611,449	14 hours ago	16 hours ago
$TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	11.64x	$611,449	15 hours ago	16 hours ago
$TINFA	0x380bd08929d4ae51de22f708dccb6b4c534ab79a	11.64x	$611,449	15 hours ago	16 hours ago
$DieHarder	0xeea5fb81328343984298819275bda5489e796e62	1.9x	$234,261	a few seconds ago	2 minutes ago
$DieHarder	0xeea5fb81328343984298819275bda5489e796e62	2.6x	$321,054	a minute ago	3 minutes ago
$DieHarder	0xeea5fb81328343984298819275bda5489e796e62	3.4x	$417,249	a few seconds ago	12 minutes ago
$DieHarder	0xeea5fb81328343984298819275bda5489e796e62	4.7x	$573,457	3 minutes ago	19 minutes ago
$DieHarder	0xeea5fb81328343984298819275bda5489e796e62	5.9x	$714,417	2 minutes ago	25 minutes ago
DieHarder	0xeea5fb81328343984298819275bda5489e796e62	6.8x	$833,378	a few seconds ago	30 minutes ago
DieHarder	0xeea5fb81328343984298819275bda5489e796e62	7.39x	$900,137	3 hours ago	3 hours ago
Intern	0x435998003ccb7abeaa392494c89f7799fe241db5	1.8x	$504,645	a few seconds ago	15 minutes ago
Intern	0x435998003ccb7abeaa392494c89f7799fe241db5	2.6x	$712,184	a minute ago	41 minutes ago
$盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	1.7x	$142,369	a few seconds ago	a minute ago
盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	2.8x	$229,381	7 minutes ago	23 minutes ago
盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	3.6x	$293,469	a few seconds ago	29 minutes ago
盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	4.7x	$390,014	a few seconds ago	32 minutes ago
盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	5.3x	$441,389	a few seconds ago	32 minutes ago
$盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	6.7x	$553,914	a minute ago	34 minutes ago
盖币	0x832a9bcf1773831ec57513803d4f9dc9b587dd3f	7.8x	$643,733	a minute ago	38 minutes ago
