Alert_Time	Token	Adress	Market_Cap	Token_Price	Mint_Authority	LP_burned	Trending	Lord_Impact	Lord_Ratio	TwentyFourHoursVol	Lord_Score	Holders	Deployer	Deployer_Percent	Top_Holders	Liquidity_Pool_Balance	SOL_Supply
12/02 09:00:42 UTC	$RAPTOR	TsgPjDh64tfx7AQo3u9Lrfke3RMGNrcfjpiAZbiqGnr	$31,309	$0.000313	Disabled	100%🔥	#0	0	1.2	$36,223 | 2496.00%	2.88	290 🐳 0 | 🐟 3 | 🦐 16	2.06 SOL	2.00%	48.81%	$7,371	34.8 / 11.8%
12/02 09:18:18 UTC	FLOKI	3wvQnM6Aqtnq4sXHjpoVQsUvcyxk2R9FUzvcSfednLdj	$45,501	$0.0000455	Disabled	100%	#12	14	1.5	$66,309 | 2513.00%	18.78	490	14.48 SOL	0.00%	36.02%	$11,812	55.9 / 13.0%
12/02 08:01:03 UTC	SHIBA INU	5MBBsoCVddAuF8XixvCcXNbHAw6WfpZ8WyTKMmczxxRN	$172,029	$0.0000344	Disabled	100%🔥	#8	24	10.5	$1,799,559 | 4986.00%	16.00	1685	0.89 SOL	0.00%	25.43%	$17,592	83.4 / 5.1%
12/02 10:57:51 UTC	YOLO	7ngu9QwhvPb1mb8coSXEC3qtgr6ekJ3aijbHyMx6MTWo	$44,243	$0.000000105	Disabled	N/A	#0	0	1.2	$54,432	2.27	294	0.08 SOL	0.00%	45.03%	$12,877	62.4 / 14.3%
12/02 12:24:39 UTC	HarryPotterTrumpHomerSimpson77	BixBef5q8cdvAp3U5For6mNAHsFRYK9eyfiamofezZg9	$30,266	$0.0000303	Disabled	N/A	#0	0	2.5	$74,933	33.63	494	7.20 SOL	0.00%	32.70%	$9,597	46.0 / 15.9%
12/02 12:41:15 UTC	HarryPotterObamaPacMan8Inu	B5mcPxGPcc1rfZM9B9VrvgefgkX1Q7tRRmSLWXkqjWgs	$33,529	$0.0000335	Disabled	100%	#12	12.8	3.7	$125,059 | 2258.00%	5.75	369	0.47 SOL	0.00%	35.25%	Raydium XRP/SOL $10,540	50.4 / 15.7%
12/02 14:28:40 UTC	Grok	4SXXJCazvyDB2wa7QpNbgeefQxykRcNMzkRbaHMCN7BH	$190,492	$0.000190	Disabled	100%	#15	13.6	2.2	$413,681 | 5803.00%	18.92	1005	4.90 SOL	0.00%	32.42%	$16,963	80.2 / 4.5%
12/02 16:14:53 UTC	Green Lives Matter	5MxzNCv2jLsesbQLbrfTeqBTSwoZu7dJQqBJmvkKDabi	$113,116	$0.000113	Disabled	100%🔥	Not Trending	0	1.0	$109,673 | 6011.00%	8.72	438	7.17 SOL	2.00%	35.20%	$18,477	85.1 / 8.2%
12/02 16:55:27 UTC	TSUKA	G2YJ89bssspzqkN5A2uuF7d7zS7M3GLSsttmvWMAnbw4	$45,844	$0.0000458	Disabled	N/A	#0	0	3.2	$145,012 | 1003.00%	21.58	481	8.60 SOL	3.00%	40.07%	Raydium TSUKA/SOL $8,009	36.8 / 8.7%
12/02 17:30:39 UTC	Deez Nuts	AZbFcpLNcEYvVDFu8dY2xWg4kpwbGB2nK2dGKG27R7By	$71,872	$0.0719	Disabled	100%🔥	#0	0	1.4	$97,773 | 3999.00%	28.79	331	6.29 SOL	0.00%	43.36%	$15,419	70.3 / 10.7%
12/02 17:54:49 UTC	Joe Coin	D6q8ZzCrUiafwN8m5egM6hR8QMdQscfs7ssUdqTPfaeh	$73,339	$0.0000733	Disabled	100%🔥	#0	0	0.8	$59,447 | 6590.00%	7.82	213	2.88 SOL	0.00%	53.06%	$15,082	68.2 / 10.3%
12/02 21:41:05 UTC	pepi	GZiihGKhdQp1kxqXRw6ZkUo9NdXiE5NhuELp44BxTxr9	$55,906	$0.0000447	Disabled	100%🔥	#0	0	2.4	$134,978 | 5571.00%	5.67	375	0.81 SOL	0.00%	48.58%	$9,883	44.6 / 8.8%
12/02 22:25:19 UTC	HermioneMichelleObamaAmyRose	4wmCNsaBG8Ca25eA2jmdDAd98wS9KDGALEgRB8TRqmqQ	$77,157	$0.000184	Disabled	100%	#12	15.6	1.6	$124,237 | 10581.00%	5.16	316	6.88 SOL	0.00%	57.76%	$13,105	59.1 / 8.5%
12/02 22:50:51 UTC	PUMP	6GN9q8hfJKZ1KKioYa72yesHHgryCrbzxuxdWHZ5fSHS	$120,221	$0.000120	Disabled	100%🔥	Not Trending	0	2.1	$255,102 | 7179.00%	4.73	452	0.70 SOL	0.00%	42.43%	$14,014	62.8 / 5.8%
12/02 23:00:42 UTC	SPX6900	AskzdbCYWrKzqTi46ijisMeTYUcLcCN461d3RS14BpWx	$237,409	$0.000237	Disabled	100%🔥	#0	0	0.7	$164,289 | 11796.00%	2.85	472	0.96 SOL	0.00%	38.77%	$25,780	115.5 / 5.4%
12/02 23:00:51 UTC	DOGELON	A1EuYiZMaPVvTX22zfGrqCXQuBKBR6Zph9eHaHK8ZHpj	$46,092	$0.0000461	Disabled	N/A	#0	0	0.8	$39,274 | 1828.00%	2.07	216	1.56 SOL	0.00%	41.25%	Raydium DOGELON/SOL $10,154	45.5 / 11.0%
13/02 01:16:19 UTC	JoeCoin	JoeXBUqpCJbaNLMTDxC6o1sLTYHsLef32ga2RDRF89m	$60,633	$0.000606	Disabled	N/A	#0	0	0.5	$32,584 | 10040.00%	13.81	210	6.96 SOL	0.00%	45.73%	$11,860	52.1 / 9.8%
13/02 04:31:40 UTC	Battle Bets	7qT8bnegxN9v7qnNXNZwALAKJ2PUGkkAnzKvheMHqjs9	$82,319	$0.0000823	Disabled	N/A	#6	24.8	2.2	$178,178 | 4798.00%	2.60	247	3.68 SOL	0.00%	45.65%	Raydium BBETS/SOL $18,536	81.6 / 11.2%
13/02 06:32:30 UTC	Feed Every Gorilla	Hg7DVir41mUXRqJrSLryemDm5AbfvonXtSpgHfATNGZV	$29,224	$0.0000292	Disabled	100%🔥	#0	0	1.9	$54,226 | 2449.00%	3.75	267	2.02 SOL	0.00%	50.05%	$7,012	30.2 / 12.2%
